GLOBAL UNIQUE IDENTIFIER	COMMON NAME	SCIENTIFIC NAME	OBSERVATION COUNT	COUNTRY	STATE	LOCALITY	LATITUDE	LONGITUDE	OBSERVATION DATE	OBSERVER ID	SAMPLING EVENT IDENTIFIER	PROTOCOL TYPE	ALL SPECIES REPORTED
URN:CornellLabOfOrnithology:EBIRD:OBS1000000000	Baltimore Oriole	Icterus galbula	4		Cuba	Cuba	19.207	-75.257	2025-01-09	obsr5785687	S554200826	Incidental	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000001	Baltimore Oriole	Icterus galbula	4		Colombia	Colombia	5.192	-73.319	2025-01-24	obsr3597059	S303901283	Stationary	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000002	Baltimore Oriole	Icterus galbula	1		Florida	Florida	27.989	-80.426	2025-01-07	obsr2022698	S903132646	Stationary	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000003	Baltimore Oriole	Icterus galbula	1		Colombia	Colombia	10.182	-72.419	2025-01-02	obsr8999183	S639931481	Incidental	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000004	Baltimore Oriole	Icterus galbula	1		Colombia	Colombia	10.577	-71.856	2025-01-06	obsr9519948	S186019028	Traveling	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000005	Baltimore Oriole	Icterus galbula	1		Panama	Panama	10.967	-81.507	2025-01-03	obsr4946066	S533550699	Traveling	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000006	Baltimore Oriole	Icterus galbula	2		Florida	Florida	27.567	-79.329	2025-01-19	obsr1666754	S765055833	Traveling	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000007	Baltimore Oriole	Icterus galbula	3		Cuba	Cuba	19.809	-77.687	2025-01-14	obsr5374922	S319321646	Incidental	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000008	Baltimore Oriole	Icterus galbula	3		Florida	Florida	27.84	-81.774	2025-01-23	obsr5004485	S385201412	Stationary	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000009	Baltimore Oriole	Icterus galbula	3		Colombia	Colombia	5.913	-71.044	2025-01-05	obsr8670955	S439492674	Traveling	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000010	Baltimore Oriole	Icterus galbula	4		Florida	Florida	26.393	-81.689	2025-01-01	obsr2677407	S178663096	Incidental	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000011	Baltimore Oriole	Icterus galbula	3		Florida	Florida	28.288	-82.599	2025-01-07	obsr3222252	S474745382	Traveling	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000012	Baltimore Oriole	Icterus galbula	3		Florida	Florida	26.287	-83.255	2025-01-08	obsr5781295	S269379374	Stationary	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000013	Baltimore Oriole	Icterus galbula	3		Panama	Panama	8.559	-82.172	2025-01-27	obsr9874152	S108399996	Incidental	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000014	Baltimore Oriole	Icterus galbula	3		Colombia	Colombia	8.741	-73.25	2025-01-27	obsr2737893	S244193987	Stationary	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000015	Baltimore Oriole	Icterus galbula	1		Colombia	Colombia	8.897	-71.375	2025-01-04	obsr3607983	S392431670	Stationary	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000016	Baltimore Oriole	Icterus galbula	2		Cuba	Cuba	20.191	-78.397	2025-01-20	obsr6752576	S318610946	Incidental	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000017	Baltimore Oriole	Icterus galbula	3		Colombia	Colombia	12.38	-73.625	2025-01-21	obsr9479356	S624557080	Stationary	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000018	Baltimore Oriole	Icterus galbula	1		Cuba	Cuba	18.36	-78.043	2025-01-28	obsr2548511	S781057736	Stationary	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000019	Baltimore Oriole	Icterus galbula	3		Cuba	Cuba	20.379	-75.887	2025-01-27	obsr1739653	S103807155	Stationary	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000020	Baltimore Oriole	Icterus galbula	2		Florida	Florida	26.615	-82.476	2025-01-25	obsr5394880	S273497327	Incidental	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000021	Baltimore Oriole	Icterus galbula	4		Cuba	Cuba	16.618	-74.904	2025-01-15	obsr1162230	S220123666	Traveling	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000022	Baltimore Oriole	Icterus galbula	2		Colombia	Colombia	8.327	-70.868	2025-01-23	obsr1604451	S996139578	Stationary	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000023	Baltimore Oriole	Icterus galbula	2		Colombia	Colombia	12.353	-71.548	2025-01-19	obsr8210624	S236843584	Traveling	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000024	Baltimore Oriole	Icterus galbula	3		Florida	Florida	28.707	-82.192	2025-01-10	obsr1669324	S484194737	Traveling	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000025	Baltimore Oriole	Icterus galbula	2		Panama	Panama	8.15	-80.095	2025-01-22	obsr2724590	S479759538	Incidental	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000026	Baltimore Oriole	Icterus galbula	4		Colombia	Colombia	10.407	-72.932	2025-01-28	obsr3592974	S354194771	Traveling	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000027	Baltimore Oriole	Icterus galbula	2		Colombia	Colombia	5.97	-77.603	2025-01-26	obsr7917152	S126614158	Traveling	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000028	Baltimore Oriole	Icterus galbula	3		Panama	Panama	14.103	-80.672	2025-01-24	obsr7907400	S961393416	Incidental	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000029	Baltimore Oriole	Icterus galbula	2		Panama	Panama	9.252	-81.477	2025-01-28	obsr5476257	S270937380	Incidental	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000030	Baltimore Oriole	Icterus galbula	4		Colombia	Colombia	5.614	-76.085	2025-01-04	obsr1649691	S605399561	Traveling	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000031	Baltimore Oriole	Icterus galbula	4		Panama	Panama	9.572	-80.193	2025-01-07	obsr6866294	S427696198	Traveling	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000032	Baltimore Oriole	Icterus galbula	1		Florida	Florida	27.064	-84.641	2025-01-08	obsr4240180	S527849588	Stationary	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000033	Baltimore Oriole	Icterus galbula	1		Florida	Florida	27.604	-79.588	2025-01-09	obsr5682940	S477040284	Incidental	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000034	Baltimore Oriole	Icterus galbula	4		Cuba	Cuba	18.701	-78.687	2025-01-17	obsr9996207	S455569462	Traveling	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000035	Baltimore Oriole	Icterus galbula	3		Cuba	Cuba	20.137	-75.204	2025-01-04	obsr3995870	S723403479	Stationary	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000036	Baltimore Oriole	Icterus galbula	1		Panama	Panama	8.123	-78.085	2025-01-02	obsr8290770	S471178705	Incidental	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000037	Baltimore Oriole	Icterus galbula	3		Colombia	Colombia	7.996	-74.568	2025-01-26	obsr8321474	S750911797	Incidental	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000038	Baltimore Oriole	Icterus galbula	4		Florida	Florida	26.949	-80.806	2025-01-04	obsr4188992	S373506211	Traveling	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000039	Baltimore Oriole	Icterus galbula	4		Cuba	Cuba	18.399	-77.982	2025-01-23	obsr1028374	S658260221	Incidental	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000040	Baltimore Oriole	Icterus galbula	2		Cuba	Cuba	18.298	-80.704	2025-01-22	obsr7110622	S563102056	Traveling	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000041	Baltimore Oriole	Icterus galbula	3		Panama	Panama	9.005	-80.23	2025-01-22	obsr6266630	S812306873	Traveling	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000042	Baltimore Oriole	Icterus galbula	3		Colombia	Colombia	6.34	-68.366	2025-01-24	obsr9508103	S432091877	Incidental	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000043	Baltimore Oriole	Icterus galbula	3		Florida	Florida	27.791	-81.647	2025-01-14	obsr7751158	S848621833	Stationary	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000044	Baltimore Oriole	Icterus galbula	2		Florida	Florida	27.375	-81.02	2025-01-18	obsr4218542	S551450815	Incidental	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000045	Baltimore Oriole	Icterus galbula	2		Panama	Panama	10.069	-78.933	2025-01-13	obsr6049101	S536019893	Incidental	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000046	Baltimore Oriole	Icterus galbula	1		Cuba	Cuba	20.353	-75.271	2025-01-27	obsr6098175	S408071259	Traveling	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000047	Baltimore Oriole	Icterus galbula	3		Panama	Panama	12.03	-82.383	2025-01-14	obsr8801207	S574364121	Stationary	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000048	Baltimore Oriole	Icterus galbula	2		Panama	Panama	10.814	-81.408	2025-01-22	obsr9576076	S608079792	Incidental	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000049	Baltimore Oriole	Icterus galbula	1		Cuba	Cuba	20.36	-76.425	2025-01-06	obsr5761145	S653462378	Incidental	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000050	Baltimore Oriole	Icterus galbula	3		Florida	Florida	26.719	-82.258	2025-01-21	obsr2566777	S978775497	Traveling	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000051	Baltimore Oriole	Icterus galbula	3		Panama	Panama	9.737	-80.966	2025-01-22	obsr4768844	S966040317	Traveling	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000052	Baltimore Oriole	Icterus galbula	1		Colombia	Colombia	7.286	-74.537	2025-01-05	obsr1775337	S362897676	Stationary	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000053	Baltimore Oriole	Icterus galbula	1		Colombia	Colombia	9.142	-69.815	2025-01-20	obsr8640615	S545002643	Incidental	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000054	Baltimore Oriole	Icterus galbula	2		Colombia	Colombia	5.92	-68.895	2025-01-19	obsr7442089	S630833445	Stationary	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000055	Baltimore Oriole	Icterus galbula	2		Colombia	Colombia	10.78	-72.72	2025-01-08	obsr1093026	S906341966	Traveling	1
