Address,Adopter,Archived,Chlorosis,City,Client Site,Code,Common Name,Community,Crown Condition,Crown Dieback,Crown Exposure,Crown Light Exposure,Cultivar,Date Added,Date Planted,DBH,DBH Range,DBH Stem 1,DBH Stem 2,DBH Stem 3,DBH Stem 4,DBH Stem 5,DBH Stem 6,Email,Family,Genus,Geometry,Has Ecobenefits,Height Range,Height To Crown,Inspection Cycle,Last Inspection,Last Modified,Last Modified User,Latin Name,Latitude,Longitude,Lower Trunk Damage,Main Partner,Mulching,Next Inspection,Number of Stems (Multi Calc),Nursery,Other Damage,Phone,Planting Status,Positive Contact at planting?,Primary Grant Funder,Primary ID,Project Name,Project Specific Funder,Pruning,Reinventory Caliper,Reinventory Condition,Reinventory DBH,Root Flare,Season,Site Type,Staking,Status,Tag,Tree Height (Estimated),Tree Id,Tree Work-Other,Tree Work-PHC,Tree Work-Pruning,User
,,No,,,TK Inventory,ACRU,Red maple,,Good,,,Crown is fully exposed to light.,,,,1,0-3in,,,,,,,,,Acer,0101000020110F0000F6F563D3699862C153086F01F4915341,No,N/A,,,,,,Acer rubrum,41.79413799999998,-87.579691,,,,,,,,,,,,189023,,,,,Good,,,,,,Alive,,,,,,,molly
,,No,,,TK Inventory,ACRU,Red maple,,Good,,,Crown is fully exposed to light.,,,,3,3-6in,,,,,,,,,Acer,0101000020110F000028D99752599862C14555910D0D925341,No,N/A,,,,,,Acer rubrum,41.794809,-87.578505,,,,,,,,,,,,189022,,,,,Good,,,,,,Alive,,,,,,,molly
,,No,,,TK Inventory,TICO,Littleleaf linden,,Good,,,Crown is fully exposed to light.,,,,1,0-3in,,,,,,,,,Tilia,0101000020110F00000208CE665E9862C1E033FFB004925341,No,N/A,,,,,,Tilia cordata,41.79458499999998,-87.57887,,,,,,,,,,,,189021,,,,,Good,,,,,,Alive,,,,,,,molly
,,No,,,TK Inventory,TICO,Littleleaf linden,,Good,,,Crown is fully exposed to light.,,,,1,0-3in,,,,,,,,,Tilia,0101000020110F00001E4C2DFD679862C1DF32A526EA915341,No,N/A,,,,,,Tilia cordata,41.79387399999999,-87.579559,,,,,,,,,,,,189020,,,,,Good,,,,,,Alive,,,,,,,molly
,,No,,,TK Inventory,ACSA2,Sugar maple,,Good,,,Crown is fully exposed to light.,,,,12,12-18in,,,,,,,,,Acer,0101000020110F000093C9893C5F9862C15F5469A302925341,No,N/A,,,,,,Acer saccharum,41.79452999999999,-87.57893,,,,,,,,,,,,189019,,,,,Good,,,,,,Alive,,,,,,,molly
,,No,,,TK Inventory,ACSA2,Sugar maple,,Good,,,Crown is fully exposed to light.,,,,24,24-30in,,,,,,,,,Acer,0101000020110F0000DC3BC2DE639862C16086A97DF4915341,No,N/A,,,,,,Acer saccharum,41.794151,-87.579263,,,,,,,,,,,,189018,,,,,Good,,,,,,Alive,,,,,,,molly
,,No,,,TK Inventory,ACSA2,Sugar maple,,Good,,,Crown is fully exposed to light.,,,,6,6-12in,,,,,,,,,Acer,0101000020110F0000B2BD85E25C9862C11819EAA106925341,No,N/A,,,,,,Acer saccharum,41.79463700000001,-87.578761,,,,,,,,,,,,189017,,,,,Good,,,,,,Alive,,,,,,,molly
,,No,,,TK Inventory,OSVI,American hophornbeam,,Poor,,,Two sides of the crown are exposed to light.,,,,6,6-12in,,,,,,,,,Ostrya,0101000020110F0000A165B171579862C18C28CC890D925341,No,N/A,,,,,,Ostrya virginiana,41.794821999999996,-87.57837,,,,,,,,,,,,189016,,,,,Good,,,,,,Alive,,,,,,,molly
,,No,,,TK Inventory,ULS,Elm,,Good,,,Three sides of the crown are exposed to light.,,,,12,12-18in,,,,,,,,,Ulmus,0101000020110F0000829EE601639862C1FFA910C1F9915341,No,N/A,,,,,,Ulmus,41.79429199999999,-87.579201,,,,,,,,,,,,189015,,,,,Good,,,,,,Alive,,,,,,,molly
,,No,,,TK Inventory,TIAM,American linden,,Good,,,Three sides of the crown are exposed to light.,,,,24,24-30in,,,,,,,,,Tilia,0101000020110F000005BB94753A9862C1A921C3BC2B925341,No,N/A,,,,,,Tilia americana,41.795630999999986,-87.576287,,,,,,,,,,,,189014,,,,,Good,,,,,,Alive,,,,,,,molly
,,No,,,TK Inventory,ULS,Elm,,Good,,,Four sides of the crown are exposed to light.,,,,6,6-12in,,,,,,,,,Ulmus,0101000020110F00000DF4588C629862C1201194C1FE915341,No,N/A,,,,,,Ulmus,41.79442599999999,-87.579168,,,,,,,,,,,,189013,,,,,Good,,,,,,Alive,,,,,,,molly
,,No,,,TK Inventory,ULS,Elm,,Good,,,Four sides of the crown are exposed to light.,,,,6,6-12in,,,,,,,,,Ulmus,0101000020110F00006BA5AFAC6A9862C16E6C7D5C00925341,No,N/A,,,,,,Ulmus,41.794469,-87.579752,,,,,,,,,,,,189012,,,,,Good,,,,,,Alive,,,,,,,molly
,,No,,,TK Inventory,ACSA2,Sugar maple,,Good,,,Four sides of the crown are exposed to light.,,,,6,6-12in,,,,,,,,,Acer,0101000020110F000056F83633539862C10DAF9CB816925341,No,N/A,,,,,,Acer saccharum,41.795068,-87.578065,,,,,,,,,,,,189011,,,,,Good,,,,,,Alive,,,,,,,molly
,,No,,,TK Inventory,ACSA2,Sugar maple,,Good,,,Four sides of the crown are exposed to light.,,,,6,6-12in,,,,,,,,,Acer,0101000020110F0000444894BA539862C187BC613C16925341,No,N/A,,,,,,Acer saccharum,41.795055000000005,-87.578103,,,,,,,,,,,,189010,,,,,Good,,,,,,Alive,,,,,,,molly
,,No,,,TK Inventory,ACSA2,Sugar maple,,Good,,,Four sides of the crown are exposed to light.,,,,6,6-12in,,,,,,,,,Acer,0101000020110F0000D7930D32589862C13A832AC70F925341,No,N/A,,,,,,Acer saccharum,41.794882000000015,-87.578424,,,,,,,,,,,,189009,,,,,Good,,,,,,Alive,,,,,,,molly
,,No,,,TK Inventory,ACSA2,Sugar maple,,Good,,,Four sides of the crown are exposed to light.,,,,6,6-12in,,,,,,,,,Acer,0101000020110F000015BD2E435E9862C1EA33B32707925341,No,N/A,,,,,,Acer saccharum,41.79465099999999,-87.57886,,,,,,,,,,,,189008,,,,,Good,,,,,,Alive,,,,,,,molly
